KnessetNum,BillCount,LawCount,SuccessRate,FactionSize,BillsPerMember,LawsPerMember,FactionName
19,125,6,0.048,3,41.666666666666664,2.0,"בל""ד - אלתג'מוע אלווטני אלדמוקרטי"
19,88,6,0.06818181818181818,3,29.333333333333332,2.0,קדימה בראשות שאול מופז
19,153,6,0.0392156862745098,4,38.25,1.5,"רע""מ-תע""ל-מד""ע"
19,153,6,0.0392156862745098,4,38.25,1.5,"רע""מ-תע""ל"
19,75,4,0.05333333333333334,3,25.0,1.3333333333333333,"רע""מ - רשימת האיחוד הערבי"
20,761,99,0.13009198423127463,3,253.66666666666666,33.0,דגל התורה
20,364,28,0.07692307692307693,1,364.0,28.0,"תע""ל – בראשות אחמד טיבי"
20,472,51,0.10805084745762712,2,236.0,25.5,"חה""כ אורלי לוי-אבקסיס"
20,953,111,0.11647429171038824,8,119.125,13.875,יהדות התורה
20,367,54,0.14713896457765668,4,91.75,13.5,הימין החדש
20,392,40,0.10204081632653061,3,130.66666666666666,13.333333333333334,אגודת ישראל
20,1090,76,0.06972477064220184,6,181.66666666666666,12.666666666666666,התנועה
20,1310,88,0.06717557251908397,7,187.14285714285714,12.571428571428571,מרצ
20,1382,154,0.11143270622286541,13,106.3076923076923,11.846153846153847,כולנו בראשות משה כחלון
20,993,109,0.10976837865055387,10,99.3,10.9,ישראל ביתנו
20,1699,130,0.07651559741024132,14,121.35714285714286,9.285714285714286,יש עתיד
20,838,108,0.1288782816229117,12,69.83333333333333,9.0,הבית היהודי בראשות נפתלי בנט
20,2448,166,0.06781045751633986,19,128.8421052631579,8.736842105263158,העבודה הישראלית
20,897,106,0.11817168338907469,14,64.07142857142857,7.571428571428571,"ש""ס"
20,2693,179,0.06646862235425176,30,89.76666666666667,5.966666666666667,המחנה הציוני
20,1698,181,0.10659599528857479,35,48.51428571428571,5.171428571428572,הליכוד
20,1760,100,0.056818181818181816,20,88.0,5.0,"הרשימה המשותפת (חד""ש, רע""ם, בל""ד ותע""ל)"
21,1,1,1.0,2,0.5,0.5,"רע""ם – רשימת האיחוד הערבי"
21,4,1,0.25,2,2.0,0.5,"תע""ל"
21,1,1,1.0,4,0.25,0.25,"רע""ם - בל""ד - הרשימה הערבית המאוחדת ברית לאומית דמוקרטית"
21,28,1,0.03571428571428571,4,7.0,0.25,דגל התורה
21,136,1,0.007352941176470588,5,27.2,0.2,מרצ
21,45,1,0.022222222222222223,5,9.0,0.2,ישראל ביתנו בראשות אביגדור ליברמן
21,81,1,0.012345679012345678,5,16.2,0.2,כולנו בראשות משה כחלון
21,8,1,0.125,6,1.3333333333333333,0.16666666666666666,הבית היהודי - האיחוד הלאומי
21,5,1,0.2,6,0.8333333333333334,0.16666666666666666,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי"
21,31,1,0.03225806451612903,7,4.428571428571429,0.14285714285714285,העבודה
21,20,1,0.05,9,2.2222222222222223,0.1111111111111111,"ש""ס"
21,29,1,0.034482758620689655,9,3.2222222222222223,0.1111111111111111,יהדות התורה
21,48,2,0.041666666666666664,35,1.3714285714285714,0.05714285714285714,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
21,180,1,0.005555555555555556,36,5.0,0.027777777777777776,כחול לבן
21,1,0,0.0,4,0.25,0.0,"חד""ש"
21,1,0,0.0,4,0.25,0.0,אגודת ישראל
22,330,3,0.00909090909090909,35,9.428571428571429,0.08571428571428572,כחול לבן
22,137,2,0.014598540145985401,32,4.28125,0.0625,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
22,134,0,0.0,10,13.4,0.0,"ש""ס"
22,364,0,0.0,6,60.666666666666664,0.0,העבודה - גשר
22,11,0,0.0,4,2.75,0.0,הבית היהודי - האיחוד הלאומי
22,141,0,0.0,8,17.625,0.0,יהדות התורה והשבת אגודת ישראל - דגל התורה
22,131,0,0.0,8,16.375,0.0,ישראל ביתנו בראשות אביגדור ליברמן
22,247,0,0.0,6,41.166666666666664,0.0,המחנה הדמוקרטי
22,51,0,0.0,13,3.923076923076923,0.0,"הרשימה המשותפת חד""ש, רע""ם, תע""ל, בל""ד"
22,7,0,0.0,4,1.75,0.0,הימין החדש
22,30,0,0.0,4,7.5,0.0,אגודת ישראל
22,126,0,0.0,3,42.0,0.0,דגל התורה
22,42,0,0.0,5,8.4,0.0,"חד""ש - חזית דמוקרטית לשלום ושוויון"
22,15,0,0.0,3,5.0,0.0,"בל""ד - ברית לאומית דמוקרטית"
22,13,0,0.0,3,4.333333333333333,0.0,"רע""מ - רשימת האיחוד הערבי"
22,18,0,0.0,2,9.0,0.0,"תע""ל - התנועה הערבית לשינוי"
22,14,0,0.0,7,2.0,0.0,ימינה בראשות איילת שקד הבית היהודי – האיחוד הלאומי – הימין החדש
23,28,6,0.21428571428571427,2,14.0,3.0,דרך ארץ
23,232,11,0.04741379310344827,4,58.0,2.75,דגל התורה
23,53,2,0.03773584905660377,1,53.0,2.0,"חה""כ ע'דיר כמאל מריח"
23,28,2,0.07142857142857142,1,28.0,2.0,גשר
23,293,5,0.017064846416382253,3,97.66666666666667,1.6666666666666667,העבודה הישראלית
23,577,9,0.01559792027729636,6,96.16666666666667,1.5,העבודה - מרצ
23,375,17,0.04533333333333334,12,31.25,1.4166666666666667,"ש""ס"
23,159,4,0.025157232704402517,3,53.0,1.3333333333333333,"תע""ל – התנועה הערבית להתחדשות"
23,603,9,0.014925373134328358,7,86.14285714285714,1.2857142857142858,העבודה - גשר - מרצ
23,299,5,0.016722408026755852,4,74.75,1.25,מרצ
23,99,6,0.06060606060606061,5,19.8,1.2,"תל""ם - תנועה לאומית ממלכתית"
23,294,8,0.027210884353741496,7,42.0,1.1428571428571428,ישראל ביתנו בראשות אביגדור ליברמן
23,297,13,0.04377104377104377,13,22.846153846153847,1.0,יהדות התורה והשבת אגודת ישראל - דגל התורה
23,85,3,0.03529411764705882,3,28.333333333333332,1.0,אגודת ישראל
23,511,12,0.023483365949119372,14,36.5,0.8571428571428571,יש עתיד
23,103,5,0.04854368932038835,6,17.166666666666668,0.8333333333333334,ימינה
23,650,20,0.03076923076923077,33,19.696969696969695,0.6060606060606061,כחול לבן בראשות בנימין גנץ
23,531,12,0.022598870056497175,20,26.55,0.6,"יש עתיד - תל""ם"
23,226,14,0.061946902654867256,27,8.37037037037037,0.5185185185185185,כחול לבן
23,73,1,0.0136986301369863,2,36.5,0.5,האיחוד הלאומי
23,55,2,0.03636363636363636,4,13.75,0.5,"רע""מ – רשימת האיחוד הערבי"
23,407,6,0.014742014742014743,15,27.133333333333333,0.4,"הרשימה המשותפת חד""ש, רע""מ, תע""ל, בל""ד"
23,516,17,0.03294573643410853,43,12.0,0.3953488372093023,הליכוד
23,285,3,0.010526315789473684,8,35.625,0.375,הרשימה המשותפת
23,5,0,0.0,1,5.0,0.0,"חה""כ פנינה תמנו"
24,74,2,0.02702702702702703,1,74.0,2.0,עוצמה יהודית
24,345,7,0.020289855072463767,4,86.25,1.75,"הרשימה המשותפת (חד""ש, בל""ד)"
24,115,3,0.02608695652173913,2,57.5,1.5,עתיד אחד
24,181,3,0.016574585635359115,2,90.5,1.5,"התנועה הערבית להתחדשות (תע""ל)"
24,473,9,0.019027484143763214,7,67.57142857142857,1.2857142857142858,"הרשימה המשותפת (חד""ש, תע""ל, בל""ד)"
24,350,5,0.014285714285714285,4,87.5,1.25,דגל התורה
24,632,10,0.015822784810126583,10,63.2,1.0,מרצ
24,12,1,0.08333333333333333,1,12.0,1.0,"חה""כ עמיחי שיקלי"
24,144,3,0.020833333333333332,3,48.0,1.0,אגודת ישראל
24,71,2,0.028169014084507043,2,35.5,1.0,"נעם - בראשות חה""כ אבי מעוז"
24,45,1,0.022222222222222223,1,45.0,1.0,דרך ארץ
24,133,4,0.03007518796992481,5,26.6,0.8,תקווה חדשה - אחדות לישראל
24,576,7,0.012152777777777778,9,64.0,0.7777777777777778,העבודה
24,138,4,0.028985507246376812,6,23.0,0.6666666666666666,הרשימה הערבית המאוחדת
24,200,7,0.035,11,18.181818181818183,0.6363636363636364,תקווה חדשה
24,590,8,0.013559322033898305,13,45.38461538461539,0.6153846153846154,"ש""ס"
24,1154,17,0.014731369150779897,32,36.0625,0.53125,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
24,487,12,0.024640657084188913,23,21.17391304347826,0.5217391304347826,יש עתיד
